city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Brockton,MA,95314,105,432,17
Broken Arrow,OK,106563,10,41,15
Brookfield,IL,18944,1,2,1
Brookfield,WI,38025,6,12,1
Brookhaven,GA,51910,1,14,1
Brookings,SD,23657,2,4,0
Brookline,MA,58732,4,4,1
Brooklyn,NY,2300664,979,1405,377
Brooklyn Center,MN,30770,3,7,0
Brooklyn Park,MN,79149,1,4,0
Broomfield,CO,65065,2,8,3
Brownsburg,IN,24996,4,9,4
Brownsville,FL,15313,0,1,0
Brownsville,TX,183887,16,35,13
Brownwood,TX,19031,1,12,5
Brunswick,GA,16157,41,84,21
Brunswick,ME,15175,3,13,0
Brunswick,OH,34689,0,2,2
Bryan,TX,82118,23,68,19
Bryant,AR,19986,0,4,0
Buckeye,AZ,50876,5,16,10
Buena Park,CA,83270,5,6,2
Buffalo,MN,16026,0,2,1
Buffalo,NY,258071,577,954,156
Buffalo Grove,IL,41496,0,1,0
Bullhead City,AZ,39445,2,7,3
Burbank,CA,105319,10,38,10
Burbank,IL,29128,2,4,2
Burien,WA,50467,1,2,0
Burke,VA,41055,0,1,0
Burleson,TX,43625,4,4,1
Burlington,IA,25410,22,57,11
Burlington,KY,15926,1,3,2
Burlington,MA,24498,1,2,1
Burlington,NC,52472,77,190,16
Burlington,VT,42452,8,50,5
Burnsville,MN,61481,2,8,4
Burton,MI,28788,3,9,1
Butte,MT,34190,15,71,8
Cabot,AR,25587,2,5,1
Calabasas,CA,23058,1,4,0
Caldwell,ID,51686,13,36,6
Caledonia,WI,24684,0,5,1
Calexico,CA,40053,1,8,1
Calhoun,GA,16309,3,11,5
Calumet City,IL,37031,25,29,22
Camarillo,CA,67608,1,9,5
Camas,WA,21846,5,5,0
Cambridge,MA,110402,14,35,7
Camden,NJ,76119,80,253,124
Cameron Park,CA,18228,1,1,0
Campbell,CA,41117,4,8,0
Canby,OR,17271,0,7,1
Canoga Park,CA,60578,2,2,2
Canton,GA,25469,7,14,8
Canton,MA,21679,1,8,0
Canton,MI,86825,1,5,0
Canton,OH,71885,82,212,49
Cantonment,FL,26493,4,14,6
Canyon Lake,TX,21262,0,1,0
Cape Coral,FL,175229,32,112,17
Cape Girardeau,MO,39462,59,143,24
Carbondale,IL,26399,31,81,6
Carlisle,PA,19143,14,63,4
Carlsbad,CA,113453,2,8,5
Carlsbad,NM,28957,16,38,11
Carmel,IN,88713,0,5,2
Carmichael,CA,61762,2,9,6
Carpentersville,IL,38512,2,7,1
Carrboro,NC,21156,1,4,0
Carrollton,GA,26203,5,13,9
Carrollton,TX,133168,4,10,6
Carrollwood,FL,33365,0,1,0
Carson,CA,93281,11,36,25
Carson City,NV,54521,6,28,6
Carteret,NJ,24170,2,4,2
Cartersville,GA,20319,12,28,6
Cary,NC,159769,5,20,7
Casa Grande,AZ,51460,6,16,9
Casper,WY,60285,11,239,13
Casselberry,FL,27056,6,15,3
Castaic,CA,19015,1,6,2
Castle Rock,CO,55591,4,10,2
Castro Valley,CA,61388,2,10,3
Cathedral City,CA,53826,22,39,8
Catonsville,MD,41567,13,22,9
Cedar City,UT,30184,2,13,2
Cedar Falls,IA,41255,1,19,2
Cedar Hill,TX,48507,11,12,7
Cedar Park,TX,65945,2,7,2
Cedar Rapids,IA,130405,83,239,27
Centennial,CO,109741,1,1,0
Center Point,AL,16655,4,8,2
Centereach,NY,31578,1,2,0
Centerville,UT,16877,1,6,2
Central,LA,28295,0,1,1
Central Falls,RI,19303,13,28,2
Central Islip,NY,34450,9,19,3
Central Point,OR,17995,7,22,4
Centralia,WA,16753,2,10,3
Centreville,VA,71135,1,4,1
Ceres,CA,47963,11,20,4
Cerritos,CA,49975,2,7,4
Chalmette,LA,16751,4,25,6
Chambersburg,PA,20691,8,33,4
Chamblee,GA,28244,2,4,2
Champaign,IL,86096,81,213,26
Chandler,AZ,260828,16,38,16
Chanhassen,MN,25332,0,1,0
Channelview,TX,38289,14,14,9
Chantilly,VA,23039,3,8,0
Chapel Hill,NC,59568,9,26,7
Charleston,IL,21196,3,11,1
Charleston,SC,132609,90,217,63
Charleston,WV,49736,137,271,37
Charlotte,NC,827097,803,1282,272
Charlottesville,VA,46597,23,76,13
Chaska,MN,25199,2,3,0
Chatsworth,CA,41255,0,6,3
Chattanooga,TN,176588,529,659,112
Cheektowaga,NY,75178,0,7,1
Chelmsford,MA,33925,2,7,0
Chelsea,MA,39398,19,23,7
Cherry Hill,NJ,70475,3,7,1
Chesapeake,VA,235429,83,137,43
Cheshire,CT,29443,1,6,2
Chester,PA,34092,144,171,62
Chester,VA,20987,2,6,4
Chesterfield,MO,47864,5,4,0
Cheyenne,WY,63335,17,66,18
Chicago,IL,2720546,10427,10814,2104
Chicago Heights,IL,30284,13,18,10
Chickasha,OK,16488,13,29,9
Chico,CA,90316,42,121,7
Chicopee,MA,56741,15,58,4
Chillicothe,OH,21727,6,27,4
Chillum,MD,33513,0,1,1
Chino,CA,85595,5,11,5
Chino Hills,CA,78309,1,4,1
Chowchilla,CA,18510,2,5,2
Christiansburg,VA,21943,2,9,6
Chula Vista,CA,265757,15,35,14
Cibolo,TX,26637,0,1,0
Cicero,IL,83886,7,13,5
Cincinnati,OH,296943,792,1108,254
Citrus Heights,CA,87056,10,30,14
Claremont,CA,36283,2,2,0
Claremore,OK,18997,2,20,8
Clarksburg,WV,16152,9,33,9
Clarksdale,MS,16847,13,23,17
Clarksville,IN,21866,5,15,0
Clarksville,TN,149176,93,178,54
Clayton,MO,15884,0,2,1
Clayton,NC,19304,3,13,5
Clearfield,UT,30653,0,1,1
Clearlake,CA,15182,2,10,2
Clearwater,FL,113003,28,71,25
Cleburne,TX,30020,4,4,2
Clemmons,NC,19844,0,2,3
Clemson,SC,15446,2,7,1
Clermont,FL,32390,13,40,7
Cleveland,OH,388072,1188,1709,473
Cleveland,TN,43898,12,40,17
Cleveland Heights,OH,44962,6,23,2
Cliffside Park,NJ,24857,1,2,0
Clifton,CO,19889,5,25,5
Clifton,NJ,86334,3,25,2
Clinton,IA,26064,10,17,1
Clinton,MD,35970,11,15,7
Clinton,MS,25254,5,15,1
Clinton Township,MI,99753,5,18,5
Clive,IA,15447,3,3,2
Clovis,CA,104180,5,24,7
Clovis,NM,39480,14,36,6
Coachella,CA,44635,20,54,11
Coalinga,CA,16564,4,6,2
Cockeysville,MD,20776,1,3,1
Cocoa,FL,17711,45,69,23
Coconut Creek,FL,59302,2,2,0
Cohoes,NY,16538,1,4,0
Colchester,VT,16986,2,9,0
College Park,MD,32301,5,11,7
College Point,NY,27307,0,2,0
College Station,TX,107889,17,68,5
Colleyville,TX,25487,1,5,0
Collierville,TN,48863,5,10,1
Collinsville,IL,24754,4,21,4
Colonial Heights,VA,17820,8,17,3
Colorado Springs,CO,456568,294,763,122
Colton,CA,54621,10,19,11
Columbia,MD,99615,10,22,6
Columbia,MO,119108,143,496,26
Columbia,SC,133803,306,526,138
Columbia,TN,36800,14,27,7
Columbia Heights,MN,19715,2,3,0
Columbus,GA,200579,387,816,110
Columbus,IN,46690,8,33,11
Columbus,MS,23168,44,97,24
Columbus,NE,22797,1,17,3
Columbus,OH,850106,878,1282,415
Commack,NY,36124,0,3,1
Commerce City,CO,53696,15,27,7
Compton,CA,98462,56,109,86
Concord,CA,128667,23,60,12
Concord,MA,16810,0,1,0
Concord,NC,87696,13,50,14
Concord,NH,42620,2,22,1
Conroe,TX,68602,8,31,18
Converse,TX,21987,15,21,13
Conway,AR,64980,18,38,11
Conway,SC,21053,59,130,21
Conyers,GA,15875,9,32,10
Cookeville,TN,32113,6,15,8
Coon Rapids,MN,62240,0,4,0
Cooper City,FL,35364,0,2,0
Coos Bay,OR,16182,1,8,4
Copiague,NY,22993,5,8,1
Coppell,TX,41159,2,3,0
Copperas Cove,TX,33081,8,46,4
Coral Gables,FL,51117,7,14,5
Coral Springs,FL,129485,4,16,6
Coralville,IA,20608,4,8,1
Coram,NY,39113,7,10,2
Corcoran,CA,22477,2,8,2
Cornelius,NC,28092,3,9,3
Corona,CA,164226,4,20,7
Corpus Christi,TX,324074,190,584,79
Corsicana,TX,23952,3,7,4
Cortland,NY,18907,0,5,1
Corvallis,OR,55780,4,19,5
Costa Mesa,CA,113204,4,12,1
Cottage Grove,MN,35918,1,6,1
Cottonwood Heights,UT,34343,0,2,0
Council Bluffs,IA,62597,27,76,6
Country Club Hills,IL,16795,5,9,4
Coventry,RI,35525,2,12,0
Covina,CA,48984,5,19,8
Covington,KY,40997,27,39,15
Cranberry Township,PA,28098,1,1,0
Cranford,NJ,22627,0,1,0
Cranston,RI,81073,10,47,1
Crawfordsville,IN,16024,1,2,0
Crest Hill,IL,21153,0,4,0
Crestview,FL,23270,23,51,7
Creve Coeur,MO,18276,0,2,1
Crofton,MD,27348,2,5,0
Crown Point,IN,28879,1,11,4
Crystal,MN,22943,1,1,0
Crystal Lake,IL,40448,4,12,3
Cudahy,CA,24311,0,1,1
Cudahy,WI,18353,3,7,4
Cullman,AL,15350,4,15,6
Culpeper,VA,17557,5,14,12
Culver City,CA,39717,1,2,0
Cumberland,MD,20130,5,17,3
Cupertino,CA,60572,2,5,1
Cuyahoga Falls,OH,49146,1,7,3
Cypress,CA,49290,2,2,0
Cypress,TX,46025,28,27,26
Dale City,VA,65969,1,6,0
Dallas,OR,15277,3,6,1
Dallas,TX,1300092,515,1152,465
Dalton,GA,33853,8,23,9
Daly City,CA,106562,6,9,3
Damascus,MD,15257,0,2,2
Dana Point,CA,34181,2,5,0
Danbury,CT,84657,3,21,3
Dania Beach,FL,31446,5,8,3
Danvers,MA,26493,2,1,0
Danville,CA,44400,1,6,3
Danville,IL,32108,58,102,26
Danville,KY,16690,6,16,2
Danville,VA,42082,93,151,39
Daphne,AL,24896,4,8,2
Darien,CT,20732,0,4,0
Darien,IL,22256,2,5,0
Davenport,IA,102582,95,317,29
Davie,FL,100882,4,8,2
Davis,CA,67666,0,9,3
Dayton,OH,140599,489,1016,137
Daytona Beach,FL,64736,94,177,28
De Pere,WI,24724,0,4,1
DeSoto,TX,52486,0,1,0
Dearborn,MI,95171,14,37,8
Dearborn Heights,MI,56145,3,22,5
Decatur,AL,55437,47,97,23
Decatur,GA,21957,103,147,82
Decatur,IL,73254,76,140,23
Dedham,MA,24729,2,4,0
Deer Park,NY,27745,8,15,2
Deer Park,TX,33806,0,5,1
Deerfield,IL,19019,0,3,1
Deerfield Beach,FL,79768,2,21,9
Defiance,OH,16776,2,6,4
Del City,OK,22022,4,4,1
Del Rio,TX,36153,4,23,8
Delano,CA,52733,10,33,20
Delaware,OH,37995,3,6,3
Delray Beach,FL,66255,24,86,23
Deltona,FL,88474,37,80,19
Denison,TX,23150,2,5,2
Denton,TX,131044,17,28,13
Denver,CO,682545,319,690,208
Depew,NY,15146,0,3,0
Derby,KS,23509,4,8,2
Derry,NH,22015,1,11,2
Des Moines,IA,210330,229,526,55
Des Moines,WA,31221,1,2,1
Des Plaines,IL,58677,1,15,4
Desert Hot Springs,CA,28335,39,74,20
Detroit,MI,677116,1025,1832,603
Diamond Bar,CA,56897,0,1,0
Dickinson,ND,23765,16,46,5
Dickinson,TX,19895,4,11,4
Dickson,TN,15359,2,8,3
Dinuba,CA,23702,2,4,3
Dixon,CA,19390,1,4,1
Dixon,IL,15319,1,5,2
Dodge City,KS,27912,2,6,6
Dolton,IL,23197,26,33,19
Donna,TX,16523,2,7,8
