antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator'})",frozenset({'Defensive Use'}),0.01105237465422214,0.030837335247019947,0.01105237465422214,1.0,32.42822351508592,0.010711548871734226,inf
frozenset({'Defensive Use - Victim stops crime'}),frozenset({'Defensive Use'}),0.011398674048824043,0.030837335247019947,0.011398674048824043,1.0,32.42822351508592,0.01104716931580895,inf
frozenset({'Defensive Use'}),frozenset({'Defensive Use - Victim stops crime'}),0.030837335247019947,0.011398674048824043,0.011398674048824043,0.3696387498308754,32.42822351508592,0.01104716931580895,1.5683091650794467
frozenset({'Defensive Use'}),"frozenset({'Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator'})",0.030837335247019947,0.01105237465422214,0.01105237465422214,0.35840887565958596,32.42822351508591,0.010711548871734226,1.541398544692249
frozenset({'Accidental/Negligent Discharge'}),"frozenset({'Accidental Shooting - Injury', 'Accidental Shooting'})",0.026794394122089314,0.02238846447510608,0.017607029460482232,0.6571161631890376,29.350657965832834,0.017007144119547846,2.8511449959767794
frozenset({'Accidental/Negligent Discharge'}),frozenset({'Accidental Shooting - Injury'}),0.026794394122089314,0.02238846447510608,0.017607029460482232,0.6571161631890376,29.350657965832834,0.017007144119547846,2.8511449959767794
"frozenset({'Accidental/Negligent Discharge', 'Accidental Shooting'})",frozenset({'Accidental Shooting - Injury'}),0.026794394122089314,0.02238846447510608,0.017607029460482232,0.6571161631890376,29.350657965832834,0.017007144119547846,2.8511449959767794
"frozenset({'Accidental Shooting - Injury', 'Accidental Shooting'})",frozenset({'Accidental/Negligent Discharge'}),0.02238846447510608,0.026794394122089314,0.017607029460482232,0.7864330972791651,29.35065796583283,0.017007144119547846,4.556912112688367
frozenset({'Accidental Shooting - Injury'}),"frozenset({'Accidental/Negligent Discharge', 'Accidental Shooting'})",0.02238846447510608,0.026794394122089314,0.017607029460482232,0.7864330972791651,29.35065796583283,0.017007144119547846,4.556912112688367
frozenset({'Accidental Shooting - Injury'}),frozenset({'Accidental/Negligent Discharge'}),0.02238846447510608,0.026794394122089314,0.017607029460482232,0.7864330972791651,29.35065796583283,0.017007144119547846,4.556912112688367
frozenset({'Accidental Shooting'}),"frozenset({'Accidental Shooting - Injury', 'Accidental/Negligent Discharge'})",0.03426695093813758,0.017607029460482232,0.017607029460482232,0.513819554365031,29.182637282357238,0.017003690245793544,2.0206344770951814
"frozenset({'Accidental Shooting - Injury', 'Accidental/Negligent Discharge'})",frozenset({'Accidental Shooting'}),0.017607029460482232,0.03426695093813758,0.017607029460482232,1.0,29.182637282357238,0.017003690245793544,inf
frozenset({'Accidental/Negligent Discharge'}),frozenset({'Accidental Shooting'}),0.026794394122089314,0.03426695093813758,0.026794394122089314,1.0,29.182637282357238,0.025876231933290555,inf
frozenset({'Accidental Shooting'}),frozenset({'Accidental Shooting - Injury'}),0.03426695093813758,0.02238846447510608,0.02238846447510608,0.6533544380859613,29.182637282357238,0.021621280061357384,2.8202049670762044
frozenset({'Accidental Shooting - Injury'}),frozenset({'Accidental Shooting'}),0.02238846447510608,0.03426695093813758,0.02238846447510608,1.0,29.182637282357238,0.021621280061357384,inf
frozenset({'Accidental Shooting'}),frozenset({'Accidental/Negligent Discharge'}),0.03426695093813758,0.026794394122089314,0.026794394122089314,0.7819310848654571,29.182637282357234,0.025876231933290555,4.462835087144209
frozenset({'Home Invasion'}),frozenset({'Home Invasion - Resident injured'}),0.04439725130070887,0.012316576058612215,0.012316576058612215,0.2774175359458697,22.523916925101023,0.011769753936173714,1.3668798691845891
frozenset({'Home Invasion - Resident injured'}),frozenset({'Home Invasion'}),0.012316576058612215,0.04439725130070887,0.012316576058612215,1.0,22.523916925101023,0.011769753936173714,inf
frozenset({'Home Invasion - No death or injury'}),frozenset({'Home Invasion'}),0.02149559615649395,0.04439725130070887,0.02149559615649395,1.0,22.523916925101023,0.020541250772075536,inf
frozenset({'Home Invasion'}),frozenset({'Home Invasion - No death or injury'}),0.04439725130070887,0.02149559615649395,0.02149559615649395,0.48416502208439055,22.523916925101023,0.020541250772075536,1.896933022645062
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Incident - Weapon involved but no shots fired'}),0.07505100614577119,0.016622370940891282,0.016622370940891282,0.22148098732488322,13.324271736713364,0.015374845277249163,1.2631388740013745
frozenset({'Officer Involved Shooting - subject/suspect/perpetrator shot'}),frozenset({'Officer Involved Incident'}),0.015424926046303983,0.07505100614577119,0.015424926046303983,1.0,13.324271736713364,0.014267269826804757,inf
frozenset({'Officer Involved Incident'}),frozenset({'Officer Involved Shooting - subject/suspect/perpetrator killed'}),0.07505100614577119,0.01942197207074521,0.01942197207074521,0.25878363353346673,13.324271736713364,0.017964333525500715,1.3229308907516264
frozenset({'Officer Involved Shooting - subject/suspect/perpetrator killed'}),frozenset({'Officer Involved Incident'}),0.01942197207074521,0.07505100614577119,0.01942197207074521,1.0,13.324271736713364,0.017964333525500715,inf
frozenset({'Officer Involved Incident - Weapon involved but no shots fired'}),frozenset({'Officer Involved Incident'}),0.016622370940891282,0.07505100614577119,0.016622370940891282,1.0,13.324271736713364,0.015374845277249163,inf
"frozenset({'Officer Involved Shooting - Shots fired, no injury'})",frozenset({'Officer Involved Incident'}),0.011795040825778026,0.07505100614577119,0.011795040825778026,1.0,13.324271736713364,0.010909811144272938,inf
